CatalogNo,SongNumber,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,TimeOfDay,PlaybackUsed,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
XC189596,b2of9,17,6,2014,8:32:00,30720,58.7648,-122.7268,after sunrise,,8.196244286,3.252695207,2.83405777,4.442651256
XC195560,b1of8,25,6,2014,4:31:00,16260,56.0883,-129.3039,before sunrise,,8.008270518,3.723266796,3.013431851,3.891820298
XC195836,b3of7,27,6,2014,8:40:00,31200,52.8214,-119.244,after sunrise,,7.929520806,3.470888821,3.027280631,3.970291914
XC205466,b17of26,22,5,2014,5:05:00,18300,38.2405,-108.8431,before sunrise,,7.053160345,3.647517771,3.167118299,2.944438979
XC206093,b20of24,28,6,2014,9:10:00,33000,37.7799,-108.0403,after sunrise,,7.717626734,3.669264779,3.018634038,3.63758616
XC210094,b3of3,30,3,2013,10:29:00,37740,19.8332,-101.7836,after sunrise,,7.554941622,3.558050864,3.31081332,3.433987204
XC236651,b2of2,19,4,2015,10:00:00,36000,45.5138,-73.5347,after sunrise,,7.868138841,2.940934517,3.10177283,4.158883083
XC246585,b2of5,13,5,2015,20:30:00,73800,34.0097,-84.0556,after noon,,7.986488747,3.666976811,3.725034491,3.610917913
XC253942,b2of3,20,6,2015,10:00:00,36000,39.0346,-119.4223,after sunrise,,7.677716518,3.676099727,3.12967208,3.555348061
XC253974,b7of9,6,4,2015,7:50:00,28200,32.3778,-93.7203,after sunrise,yes,7.385860919,4.140303253,3.345191706,2.890371758
XC253975,b2of3,6,4,2015,7:55:00,28500,32.377,-93.7157,after sunrise,,7.417628068,4.026592687,3.193802187,3.044522438
XC269237,b2of6,17,6,2015,16:59:00,61140,46.3086,-121.5431,after noon,,7.878413939,3.511401424,2.924696501,3.931825633
XC269238,b12of13,17,6,2015,17:08:00,61680,46.3086,-121.5431,after noon,,7.676392696,3.065188001,2.522245639,4.158883083
XC289051,b2of2,18,5,2013,10:05:00,36300,35.0913,-113.8886,after sunrise,,7.723260551,3.214752108,2.849585812,3.988984047
XC293008,b2of16,27,6,2015,8:04:00,29040,46.9872,-70.5887,after sunrise,,7.493423299,4.126366041,3.378382704,2.995732274
XC294302,b7of8,2,6,2015,11:04:00,39840,43.7293,-110.7412,after sunrise,,7.995515243,3.225362676,2.491847878,4.382026635
XC294364,b12of31,2,6,2015,6:25:00,23100,43.6416,-110.7628,after sunrise,,6.963925551,2.690314049,2.997318317,3.433987204
XC302537,b1of10,14,7,2013,6:00:00,21600,34.0242,-107.1338,before sunrise,,7.502046318,3.355849562,3.555671948,3.36729583
XC308415,b2of2,24,3,2016,8:00:00,28800,32.4368,-85.3914,after sunrise,,7.891556303,3.597368632,2.585764681,3.988984047
XC308852,b4of4,26,3,2016,12:00:00,43200,39.1742,-75.5424,after sunrise,,7.951335742,4.043750971,3.008002366,3.610917913
XC309778,b2of2,31,3,2016,14:00:00,50400,39.1742,-75.5424,after noon,,7.546429512,3.385513246,3.294535537,3.526360525
XC312321,b4of10,10,4,2016,8:22:00,30120,36.8844,-76.6425,after sunrise,,7.690569039,3.719169997,2.625063718,3.688879454
XC313309,b2of2,19,4,2016,11:00:00,39600,42.7335,-83.0753,after sunrise,,7.909203819,4.519439374,2.880178893,3.218875825
