CatalogNo,SongNumber,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,TimeOfDay,PlaybackUsed,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
189871,b6of10,2,6,2005,8:20:00,30000,39.6225,-120.2716667,after sunrise,,7.896529081,3.36070602,2.788734246,4.094344562
190909,b11of11,21,4,2014,6:29:00,23340,42.259721,-78.08965,after sunrise,,7.731094951,3.527697103,3.342481578,3.610917913
191234,b4of8,10,7,2012,5:16:00,18960,39.4780424,-77.7445498,before sunrise,,7.221522722,3.69481419,3.390277491,2.995732274
191266,b5of10,23,5,2003,5:35:00,20100,40.7108333,-74.7022222,before sunrise,,7.900301336,4.03886541,3.53568617,3.401197382
192107,b2of5,28,4,2014,9:59:00,35940,39.9783,-105.2844,after sunrise,,7.682701865,3.599534354,2.974198826,3.663561646
192108,b2of4_bird1,26,4,2014,10:06:00,36360,39.9783,-105.2844,after sunrise,,7.530888659,3.8136359,2.730029108,3.433987204
192108,b2of4_bird1,26,4,2014,10:06:00,36360,39.9783,-105.2844,after sunrise,,7.744659173,4.110811052,2.959952346,3.36729583
195009,b9of11,25,4,2012,6:27:00,23220,44.3504,-101.5528,after sunrise,,7.727744864,3.226843995,3.026356676,3.912023005
195793,b6of18,6,6,2014,5:58:00,21480,46.213932,-84.9936676,after sunrise,,7.967857713,2.776418811,2.762173116,4.510859507
206449,b6of10,2,6,2015,6:22:00,22920,62.8906001,-141.5481949,after sunrise,,7.599790731,3.615483479,2.936410657,3.583518938
206461,b8of8,3,6,2015,7:13:00,25980,63.3784085,-143.5563755,after sunrise,,8.094630366,2.777369132,2.706587807,4.663439094
209314,b5of5,20,4,2014,7:30:00,27000,39.088655,-86.220443,after sunrise,,7.547267244,3.633075503,3.182014232,3.433987204
213694,b1of13,11,7,2008,5:18:00,19080,42.3540407,-76.6856003,before sunrise,,7.304078195,4.251729398,3.655987876,2.63905733
214968,b8of8,14,7,2014,5:38:00,20280,44.17,-107.252,before sunrise,,7.488639873,3.028123769,2.540060905,3.988984047
219595,b3of4,28,4,2009,5:55:00,21300,42.33671,-76.329797,before sunrise,,7.918836575,4.058319795,3.364519941,3.465735903
219652,b2of3,19,5,2009,7:42:00,27720,42.426647,-76.337689,after sunrise,,8.164952845,3.843168955,3.242406322,3.891820298
220753,b1of3,5,5,2009,6:51:00,24660,42.277243,-76.0061417,after sunrise,,7.770712207,4.455387059,3.121295496,3.091042453
224604,b4of7,16,6,2009,4:22:00,15720,44.4805241,-74.407289,before sunrise,,7.009681332,4.370415474,3.167415432,2.397895273
224606,b1of7,16,6,2009,4:38:00,16680,44.4805241,-74.407289,before sunrise,,6.645771894,4.286943187,3.770142418,1.945910149
224622,b10of12,17,6,2009,4:15:00,15300,44.4840605,-74.4020104,before sunrise,,6.521158655,4.305473674,3.287374747,1.945910149
224629,b6of11,18,6,2009,4:32:00,16320,44.4808303,-74.4073963,before sunrise,,7.025044365,4.369648757,3.614771482,2.302585093
516141,b1of6,14,7,2015,5:43:00,20580,44.181,-107.259,before sunrise,,7.619926695,3.99165863,3.098892568,3.295836866
527118,b1of1,30,3,2017,7:15:00,26100,13.531,-84.138,after sunrise,,7.594053663,4.065357025,3.765639355,2.995732274
25574571,b1of2,11,3,2016,11:55:00,42900,35.8461876,-84.1560137,after sunrise,,7.18778913,3.768398739,3.029289851,3.044522438
26292371,b5of6,27,3,2016,7:25:00,26700,36.3875711,-79.7036648,after sunrise,,7.635073816,3.968148814,3.205848727,3.295836866
27191601,b1of2,17,4,2016,8:44:00,31440,36.0151011,-84.1660004,after sunrise,,7.232366062,3.501416498,4.374058465,2.564949357
27432141,b1of3,21,4,2016,7:13:00,25980,35.8461876,-84.1560137,after sunrise,,8.038542762,4.412138927,3.512765695,3.295836866
27447641,b1.06,22,4,2016,7:35:00,27300,42.5371252,-76.5506476,after sunrise,,7.886320065,4.269723065,3.467718064,3.258096538
27575581,b3of4,21,6,2015,6:40:00,24000,39.9061809,-75.3574562,after sunrise,,7.958243848,4.384173799,3.704967427,3.17805383
27646801,b1of7,25,4,2016,6:01:00,21660,42.2148515,-71.0751915,after sunrise,,7.957021694,4.403617267,3.374386124,3.258096538
27647091,b1of1,25,4,2016,6:01:00,21660,42.2148515,-71.0751915,after sunrise,,8.020134797,3.521362413,3.178511601,3.970291914
28295391,b6of6,6,5,2016,8:43:00,31380,36.3312283,-82.4424711,after sunrise,,7.738176838,4.236174758,3.160035325,3.218875825
28478521,b1of3,12,3,2016,7:43:00,27780,35.8461876,-84.1560137,after sunrise,,7.617587878,2.768422838,3.504930558,3.737669618
29405651,b7of10_bird1,25,5,2016,18:30:00,66600,48.4933029,-123.4072459,after noon,,5.915645711,2.97089535,2.748491171,2.397895273
29804411,b3of5,31,5,2012,4:15:00,15300,44.528164,-72.816124,before sunrise,,7.812680075,2.757611922,3.171804613,4.143134726
29810211,b19of19,2,6,2016,17:33:00,63180,42.4712343,-76.4592433,after noon,,7.808174694,4.240630963,3.793559466,3.091042453
29855421,b2of3,5,6,2016,11:43:00,42180,43.8119861,-73.4951019,after sunrise,,7.384482287,2.724377094,3.412471458,3.583518938
29891771,b2of3,4,6,2016,6:46:00,24360,40.1422203,-75.345735,after sunrise,,8.043143292,4.017383521,3.835975832,3.433987204
29912751,b5of5,2,6,2016,4:25:00,15900,41.6704398,-71.2719503,before sunrise,,6.998147179,3.389284936,3.16138122,3.044522438
30045451,b1of1,10,6,2016,9:45:00,35100,43.3940482,-70.6263399,after sunrise,,7.634153006,4.070924288,3.35818758,3.17805383
30946051,b3of5,5,7,2016,6:45:00,24300,42.3954,-76.7769,after sunrise,,7.682116642,3.871531644,4.153017964,2.995732274
31356151,b1of8,29,6,2016,19:57:00,71820,43.26369,-123.46631,after noon,,8.086654446,3.335957612,2.581067468,4.369447852
31668351,b2of4,23,7,2016,11:00:00,39600,43.3211705,-70.8925803,after sunrise,,7.618991824,4.129784132,3.461095523,3.091042453
36028431,b1of1,4,6,2016,7:16:00,26160,40.4709797,-74.5232248,after sunrise,,7.669450788,3.084216488,3.701405714,3.555348061
47744191,b3of37,5,6,2016,7:00:00,25200,55.2355942,-114.0554609,after sunrise,,7.904059414,3.191906452,3.233466104,4.007333185
47979571,b6of30,10,6,2016,5:45:00,20700,55.505543,-114.039281,after sunrise,,7.934649899,2.928061279,2.523621915,4.49980967
48237091,b22of24,10,6,2016,5:45:00,20700,55.505543,-114.039281,after sunrise,,7.908970556,2.729668974,2.668012828,4.521788577
52595781,b4of5,27,3,2017,9:59:00,35940,38.6217,-77.7228,after sunrise,,7.29009797,4.343599257,3.395892329,2.63905733
52867771,b3of4,30,3,2017,8:10:00,29400,34.6644876,-89.4624424,after sunrise,,7.884767734,4.551287713,3.506557897,3.044522438
52971811,b1of1,30,3,2017,8:35:00,30900,30.0769673,-99.5034742,after sunrise,,7.665738555,3.302353629,3.65482395,3.496507561
53021931,b2of2,30,3,2017,7:50:00,28200,39.3497825,-76.5118374,after sunrise,,7.926086737,3.661316295,3.016900698,3.850147602
53366871,b2of2,3,4,2017,11:31:00,41460,40.316817,-76.397796,after sunrise,,7.842291248,3.926648938,2.703304903,3.663561646
53420611,b2of4,4,4,2017,10:30:00,37800,36.2283221,-81.5000153,after sunrise,,7.85085794,4.638642487,3.727345735,2.890371758
53487311,b1of1,5,4,2017,7:15:00,26100,41.573025,-71.721511,after sunrise,,7.625982144,3.730698684,4.073223606,3.044522438
53817461,b3of7,8,4,2017,7:37:00,27420,35.8461876,-84.1560137,after sunrise,,7.693177736,3.730891217,3.32109778,3.465735903
53817481,b2of5,8,4,2017,7:37:00,27420,35.8461876,-84.1560137,after sunrise,,8.219770713,4.193696278,4.012992944,3.433987204
54245591,b1of1,12,4,2017,7:51:00,28260,40.171062,-75.416025,after sunrise,,7.719884071,3.584061458,3.105219601,3.663561646
54367981,b1of2,10,4,2017,10:10:00,36600,39.5258047,-82.2603625,after sunrise,,7.86558394,3.615483479,3.589798,3.583518938
54615501,b1of4,13,4,2017,6:40:00,24000,43.8119861,-73.4951019,after sunrise,,7.46818706,3.079601029,2.966978136,3.761200116
54632481,b8of10,15,4,2017,15:26:00,55560,38.1296787,-122.5952339,after noon,,8.131717435,3.04869613,3.202003264,4.317488114
54636381,b3of4,15,4,2017,6:48:00,24480,41.0852971,-74.183338,after sunrise,,7.887035714,3.85889914,3.228005102,3.610917913
54719121,b1of1,16,4,2017,7:00:00,25200,43.1123805,-89.4845503,after sunrise,,7.616025621,3.070539572,3.09642352,3.850147602
54868471,b2of2,14,4,2017,7:05:00,25500,41.480261,-71.5635842,after sunrise,,8.004354962,4.448828556,3.969735561,3.091042453
54947101,b11of13,20,6,2016,5:15:00,18900,54.4614576,-110.1410294,after sunrise,,7.672410683,3.342603218,3.207060264,3.713572067
55143861,b3of14,20,4,2017,6:30:00,23400,37.462891,-77.9100446,before sunrise,,7.820229212,4.031859517,3.419917509,3.36729583
55176911,b1of1,20,4,2017,19:10:00,69000,38.858632,-99.3353976,after noon,,7.615087095,3.377744866,2.968258018,3.737669618
55265651,b1of6,21,4,2017,5:42:00,20520,38.9728225,-121.1465406,before sunrise,,7.678744946,3.997884296,3.034102285,3.36729583
55344231,b1of2,20,4,2017,13:35:00,48900,41.6806368,-71.3021922,after noon,,8.566618075,3.742845065,3.373045142,4.304065093
55470981,b1of3,23,4,2017,10:34:00,38040,40.7709151,-73.1553978,after sunrise,,8.230653323,3.680490143,3.283414346,4.043051268
55554691,b1of5,22,4,2017,19:59:00,71940,46.378527,-94.377093,after noon,,7.875885188,4.250194478,3.721134839,3.17805383
55584461,b2of2,23,4,2017,6:01:00,21660,41.0852971,-74.183338,before sunrise,,7.763588042,4.313536111,3.520518944,3.091042453
55863891,b1of3,26,4,2017,11:16:00,40560,36.4586859,-121.798026,after sunrise,,7.817037381,3.578693972,2.786923181,3.871201011
55891391,b3of8,26,4,2017,6:48:00,24480,49.2382662,-123.1517816,after sunrise,,7.827974791,3.842252378,3.251032936,3.555348061
55941541,b1of1,27,4,2017,14:13:00,51180,44.3354061,-69.1767025,after noon,,7.998292726,4.319976907,3.068175974,3.433987204
56023061,b1of1,27,4,2017,6:40:00,24000,42.3483635,-76.1646831,after sunrise,,8.1417491,2.657361216,3.331196192,4.406719247
56335081,b1of4,17,4,2017,7:30:00,27000,43.40066,-70.62553,after sunrise,,7.602012954,4.289990121,3.532669041,2.944438979
56336181,b6of9,30,4,2017,6:22:00,22920,42.4678,-76.4556,after sunrise,,7.754917076,4.053065799,3.284736223,3.33220451
56464981,b2of2,27,4,2017,7:10:00,25800,41.480261,-71.5635842,after sunrise,,7.962233215,4.139781741,3.718421133,3.33220451
56466101,b1of2,27,4,2017,7:45:00,27900,41.4688915,-71.5796614,after sunrise,,7.617119457,4.388806322,2.836941214,3.044522438
56682831,b1of2,27,3,2017,18:31:00,66660,35.9563584,-88.9985061,after noon,,8.079204892,3.532630138,3.302462541,3.970291914
56760661,b2of2,30,4,2017,7:43:00,27780,42.3483635,-76.1646831,after sunrise,,7.547769546,4.119098301,3.699842072,2.944438979
57105731,b2of2,4,5,2017,5:58:00,21480,43.8702152,-72.8392073,after sunrise,,7.619926695,3.586813273,3.421795073,3.433987204
57116861,b2of3,7,5,2017,10:40:00,38400,43.0027719,-77.6771057,after sunrise,,7.605495072,3.604226569,4.046083359,3.091042453
57170271,b2of7,25,4,2017,19:09:00,68940,42.4749353,-76.4600828,after noon,,8.218402022,4.163711475,3.903454656,3.496507561
57327041,b2of3,6,5,2017,6:10:00,22200,39.3754451,-113.2934189,before sunrise,,7.892861089,3.762378868,3.127873812,3.713572067
57536381,b3of3,23,4,2017,6:45:00,24300,42.4259195,-76.3357544,after sunrise,,7.81780435,3.76427156,3.714812836,3.401197382
57546081,b3of4,7,5,2017,6:28:00,23280,46.5753091,-112.0248735,after sunrise,,7.846273334,3.438564926,2.963143489,3.931825633
57546521,b5of6,7,5,2017,7:29:00,26940,46.5827185,-112.0235431,after sunrise,,7.664100797,3.916773608,2.825321073,3.465735903
58237601,b3of9,15,5,2017,9:05:00,32700,41.2407226,-76.9371486,after sunrise,,7.74424666,3.275046096,3.467718064,3.688879454
58447071,b9of9,17,5,2017,17:30:00,63000,43.6606071,-65.8169568,after noon,,8.051978079,4.1586626,3.99493564,3.295836866
59078691,b3of7,18,5,2017,8:38:00,31080,48.7245954,-116.3088334,after sunrise,,7.694479537,3.788269803,2.851060338,3.583518938
59170581,b2of3,18,5,2017,17:30:00,63000,33.2387369,-117.0042041,after noon,,7.698086784,3.366542947,3.718144913,3.465735903
59229281,b7of18,16,5,2017,6:23:00,22980,48.4577471,-123.3238292,after sunrise,,7.596607535,3.516743938,2.804826973,3.688879454
59630451,b3of3,28,5,2017,9:37:00,34620,51.684564,-120.015705,after sunrise,,7.824046011,3.514499699,3.223852085,3.761200116
59701521,b1of4,29,5,2017,10:40:00,38400,41.4124473,-88.2196999,after sunrise,,7.715930381,3.300323347,3.539603704,3.610917913
60825391,b1of2,11,6,2017,10:18:00,37080,38.0425019,-122.7990925,after sunrise,yes,7.646361306,3.814594181,2.924824304,3.496507561
60835531,b3of9,11,6,2017,5:32:00,19920,40.471743,-74.5586,before sunrise,,7.862167219,4.746027619,3.688879454,2.833213344
60937361,b1of4,12,5,2017,7:30:00,27000,35.6901148,-105.8881831,after sunrise,,7.685622855,3.405722276,3.101092789,3.737669618
60991241,b1of11,12,6,2017,6:00:00,21600,42.544628,-76.799615,after sunrise,,8.452341394,3.831239283,3.272567035,4.17438727
61069461,b4of7,14,6,2017,10:51:00,39060,42.456559,-76.477629,after sunrise,,7.576642293,3.772578473,3.950021971,3.044522438
61082981,b2of4,13,6,2017,15:40:00,56400,41.7068979,-86.0577321,after noon,,7.448232165,3.312566784,3.232277681,3.496507561
61110051,b2of4,7,5,2017,6:01:00,21660,48.2713287,-121.6035296,after sunrise,,7.70597722,3.2220454,2.889783696,3.951243719
61136181,b4of16,14,6,2017,5:15:00,18900,42.4563705,-76.4783031,before sunrise,,7.315545723,3.918352141,3.840759985,2.772588722
61229511,b1of6,14,6,2017,10:30:00,37800,42.4564505,-76.4775909,after sunrise,,7.72016588,3.784069376,3.952463975,3.17805383
61683011,b1of5,23,4,2017,11:57:00,43020,44.1190414,-94.5516754,after sunrise,,7.903824948,3.897160536,3.443422912,3.526360525
61752381,b2of6,23,6,2017,6:11:00,22260,19.831629,-99.7883468,before sunrise,,7.202554819,3.906565966,3.906881606,2.63905733
61915841,b2.22.80,29,5,2017,5:10:00,18600,39.2457593,-74.8549765,before sunrise,,7.832769753,3.692642207,3.15631608,3.688879454
61916011,b2of8,29,5,2017,5:10:00,18600,39.2457593,-74.8549765,before sunrise,,7.882374815,4.336702679,3.567985996,3.17805383
62047421,b1of2,18,6,2017,12:13:00,43980,40.6079253,-82.3048711,after noon,,8.576719171,4.362700084,3.261752849,3.931825633
62503991,b6of18,3,7,2017,5:40:00,20400,39.4731354,-77.7444763,before sunrise,,7.796625872,4.318193332,3.311987719,3.17805383
62507851,b3of3,3,7,2017,8:15:00,29700,42.6403124,-81.821756,after sunrise,,7.90464534,3.039723843,3.205823567,4.094344562
62534811,b4of4,3,7,2017,8:50:00,31800,35.105192,-81.2694073,after sunrise,,7.444527084,4.347527801,4.454716368,2.397895273
62595431,b2of2,2,7,2017,14:30:00,52200,40.7273563,-110.9003305,after noon,,7.663355474,2.783196938,2.854432238,4.158883083
62788091,b1of1,5,7,2017,10:10:00,36600,42.6401467,-70.9993172,after sunrise,,8.075854144,4.201002937,3.454951271,3.496507561
62880971,b2of3,19,6,2017,7:55:00,28500,46.6333975,-88.5335408,after sunrise,,8.012381195,3.537524174,3.601661913,3.761200116
62976331,b11of16,9,7,2017,6:59:00,25140,42.3337,-76.6796,after sunrise,,7.845900686,3.241497061,2.9342893,4.060443011
63391781,b4of5,5,7,2017,5:20:00,19200,36.7097,-118.8448,before sunrise,,7.794273853,3.826894245,3.266680598,3.526360525
63496741,b1of1,16,7,2017,7:00:00,25200,42.4678,-76.4556,after sunrise,,7.945617277,3.373432199,3.030823593,4.043051268
63757551,b1of2,18,7,2017,8:30:00,30600,35.1483,-76.6448,after sunrise,,7.785074155,4.029583925,3.528656243,3.295836866
64041271,b6of9,22,7,2017,12:15:00,44100,34.6645,-89.4624,after noon,,8.123186,4.042339359,2.911079388,3.80666249
64129161,b4of8,7,7,2017,6:48:00,24480,42.431,-76.2959,after sunrise,,7.919298469,4.360689497,3.496587725,3.218875825
64640681,b2of2,28,7,2017,7:45:00,27900,35.7708,-78.542,after sunrise,,7.708831103,3.528254438,3.540786776,3.496507561
64713371,b2of3,22,7,2017,8:50:00,31800,45.2742,-92.7725,after sunrise,,7.629227645,4.137415109,3.476636218,3.091042453
65256221,b4of4,5,8,2017,15:15:00,54900,33.7394,-79.421,after noon,,7.75573318,4.119217827,3.502980076,3.218875825
65614601,b1of2_bird2,4,7,2017,9:39:00,34740,44.9621,-115.1201,after sunrise,,7.534118032,4.434588965,3.767875041,2.708050201
65614601,b1of2_bird2,4,7,2017,9:39:00,34740,44.9621,-115.1201,after sunrise,,7.771916945,3.442654095,3.143693931,3.784189634
67370131,b6of6,11,6,2015,5:00:00,18000,39.698,-120.45,before sunrise,,7.939073932,3.870056355,3.354565381,3.610917913
