CatalogNo,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
87491,5,5,1998,6:56:00,24960,42.605724,-76.535519,7.833902042,4.590137119,3.373813878,2.995732274
64237,19,7,1952,,,43.863045,-79.564795,7.85382054,4.164218879,3.355693991,3.33220451
167877,11,7,2014,8:48:00,31680,42.4352876,-76.3051343,7.452107781,4.041379027,3.427850972,2.995732274
213694,11,7,2008,5:18:00,19080,42.3540407,-76.6856003,7.304078195,4.251729398,3.655987876,2.63905733
141608,13,6,2000,8:31:00,30660,39.6333333,-120.2833333,7.998825974,3.581786431,2.973626907,3.988984047
141599,13,6,2000,6:35:00,23700,39.6333333,-120.2833333,7.763722931,4.009239852,3.068667979,3.433987204
176280,24,6,2010,5:57:00,21420,39.1324693,-86.3456726,6.462459748,4.315722888,3.645076832,1.791759469
176261,10,7,2009,6:15:00,22500,39.0895361,-86.2209284,7.535982913,3.799517027,3.246096583,3.295836866
176251,3,7,2009,12:30:00,45000,39.1161497,-86.1766291,7.755325211,2.998751144,2.848427877,4.143134726
176221,30,6,2009,6:40:00,24000,39.0726508,-86.2634254,7.984435691,4.285264937,3.387881606,3.36729583
224622,17,6,2009,4:15:00,15300,44.4840605,-74.4020104,6.521158655,4.305473674,3.287374747,1.945910149
224606,16,6,2009,4:38:00,16680,44.4805241,-74.407289,6.645771894,4.286943187,3.770142418,1.945910149
224629,18,6,2009,4:32:00,16320,44.4808303,-74.4073963,7.025044365,4.369648757,3.614771482,2.302585093
224604,16,6,2009,4:22:00,15720,44.4805241,-74.407289,7.009681332,4.370415474,3.167415432,2.397895273
219595,28,4,2009,5:55:00,21300,42.33671,-76.329797,7.918836575,4.058319795,3.364519941,3.465735903
166621,20,5,2011,19:30:00,70200,34.7473,-85.1373,8.035977738,3.895582685,3.069708401,3.784189634
166698,11,6,2012,7:08:00,25680,39.6429333,-120.5021833,7.91490184,2.744417846,2.710128772,4.49980967
191234,10,7,2012,5:16:00,18960,39.4780424,-77.7445498,7.221522722,3.69481419,3.390277491,2.995732274
191266,23,5,2003,5:35:00,20100,40.7108333,-74.7022222,7.900301336,4.03886541,3.53568617,3.401197382
214968,14,7,2014,5:38:00,20280,44.17,-107.252,7.488639873,3.028123769,2.540060905,3.988984047
192108,26,4,2014,10:06:00,36360,39.9783,-105.2844,7.530888659,3.8136359,2.730029108,3.433987204
192108,26,4,2014,10:06:00,36360,39.9783,-105.2844,7.744659173,4.110811052,2.959952346,3.36729583
192107,28,4,2014,9:59:00,35940,39.9783,-105.2844,7.682701865,3.599534354,2.974198826,3.663561646
206449,2,6,2015,6:22:00,22920,62.8906001,-141.5481949,7.599790731,3.615483479,2.936410657,3.583518938
206461,3,6,2015,7:13:00,25980,63.3784085,-143.5563755,8.094630366,2.777369132,2.706587807,4.663439094
63970,22,5,1993,6:45:00,24300,45.2416667,-81.6333333,7.552278948,4.48358529,3.482785496,2.772588722
106500,31,5,1993,14:20:00,51600,39.7166667,-120.4666667,7.85505237,3.970415226,3.158299302,3.526360525
73848,8,6,1995,5:20:00,19200,39.75,-120.35,7.038783541,3.964208759,2.986162823,2.772588722
138523,5,6,1997,,,44.967575,-110.709873,7.393116564,4.360213058,3.211867195,2.772588722
94463,19,7,1998,5:55:00,21300,39.4784068,-77.744236,7.718332699,4.703458131,3.748302875,2.708050201
94461,19,7,1998,5:55:00,21300,39.4784068,-77.7443647,7.870323573,4.677729674,3.900046814,2.833213344
195009,25,4,2012,6:27:00,23220,44.3504,-101.5528,7.727744864,3.226843995,3.026356676,3.912023005
177868,20,6,2012,,,39.6193784,-120.2723765,7.661116166,3.272912357,2.851562482,3.891820298
179993,5,6,2013,7:17:00,26220,39.6193784,-120.2723765,7.81997424,3.949317863,3.189888288,3.496507561
179374,13,6,2013,7:07:00,25620,39.6193784,-120.2723765,8.645991177,3.920003173,2.862992852,4.430816799
179382,14,6,2013,,,39.6517939,-120.6005555,7.759532886,2.88182371,2.794750294,4.234106505
190909,21,4,2014,6:29:00,23340,42.259721,-78.08965,7.731094951,3.527697103,3.342481578,3.610917913
516141,14,7,2015,5:43:00,20580,44.181,-107.259,7.619926695,3.99165863,3.098892568,3.295836866
189871,2,6,2005,8:20:00,30000,39.6225,-120.2716667,7.896529081,3.36070602,2.788734246,4.094344562
146257,26,6,2005,5:00:00,18000,51.606078,-100.923507,7.55161217,3.079790209,2.263195053,4.110873864
220753,5,5,2009,6:51:00,24660,42.277243,-76.0061417,7.770712207,4.455387059,3.121295496,3.091042453
171947,8,6,2010,5:09:00,18540,39.69412,-120.44262,7.2693072,3.089869327,3.162313601,3.465735903
172257,22,6,2010,6:22:00,22920,44.9833333,-110.7,7.884289608,4.049514799,2.946451793,3.555348061
172206,20,6,2010,5:20:00,19200,44.9016667,-110.4183333,7.624897965,3.673570118,2.980680249,3.555348061
164429,15,6,2010,9:48:00,35280,39.6199104,-120.270896,7.880096227,3.851886665,3.056897316,3.663561646
168310,26,6,2011,5:30:00,19800,39.47774,-77.7446,8.03525835,3.585120989,3.018401073,4.007333185
175596,27,4,2013,11:37:00,41820,42.349733,-76.699017,7.900889467,4.731217503,3.409394149,2.944438979
181462,15,6,2013,10:20:00,37200,38.048111,-119.263575,7.719884071,3.209876012,3.252642687,3.80666249
195793,6,6,2014,5:58:00,21480,46.213932,-84.9936676,7.967857713,2.776418811,2.762173116,4.510859507
209314,20,4,2014,7:30:00,27000,39.088655,-86.220443,7.547267244,3.633075503,3.182014232,3.433987204
15423,5,5,1952,,,42.479981,-76.451126,7.983461718,4.445075952,3.50893602,3.218875825
15424,9,5,1952,,,42.479981,-76.451126,7.945729718,4.075267295,3.111126318,3.555348061
15425,3,6,1951,,,42.479981,-76.451126,7.625672498,3.723519917,2.968426823,3.526360525
15426,21,4,1951,7:30:00,27000,21.00899,-99.115651,7.697078066,3.834000176,3.514288083,3.33220451
15427,13,6,1958,9:30:00,34200,48.682703,-113.644101,8.161062317,3.394033122,3.26637288,4.143134726
15429,3,5,1959,,,48.442219,-123.310135,7.87492017,2.846858651,2.842068804,4.343805422
15430,20,5,1959,,,37.593038,-112.18709,7.734433852,3.720755504,3.046871235,3.610917913
15433,10,5,1962,,,38.240408,-78.710577,7.828607022,4.523566807,3.743364299,2.944438979
15434,15,5,1962,7:50:00,28200,38.61039,-79.871513,7.934422497,3.428750784,3.23895154,3.912023005
15436,16,6,1963,10:15:00,36900,46.704915,-92.525195,7.733600172,3.833085987,3.166328612,3.496507561
15444,30,5,1971,,,42.351033,-76.679443,7.847266383,3.745449806,2.94694211,3.737669618
22883,9,6,1960,,,39.294905,-120.382702,8.016475045,3.332353192,3.09272454,4.110873864
42245,12,6,1988,6:15:00,22500,42.983479,-120.828597,7.716778917,3.805749831,3.515699657,3.36729583
50145,12,5,1990,7:56:00,28560,42.35485,-122.786982,7.989076071,3.925111578,3.16322457,3.688879454
73955,27,5,1992,12:12:00,43920,38.476098,-86.540068,7.756684461,3.877300098,3.240253469,3.465735903
76777,4,6,1992,13:11:00,47460,31.0333,-92.9667,7.783488532,3.663646829,2.846419958,3.761200116
93745,7,5,1998,8:15:00,29700,42.354488,-76.692551,7.805720388,4.053118312,3.2220454,3.401197382
94464,19,7,1998,6:01:00,21660,39.4783,-77.7443,7.836162781,4.666201162,3.811500854,2.833213344
107546,9,6,1994,,,39.7167,-120.4667,7.534796573,3.968815554,2.835867293,3.295836866
109257,17,6,2000,10:02:00,36120,42.856381,-121.563058,7.663206343,3.335129178,2.809959988,3.871201011
132218,24,6,2006,5:05:00,18300,65.9306,-149.8461,7.960462127,2.941248275,2.540643321,4.510859507
75281061,11,6,2015,5:20:00,19200,39.698,-120.45,8.775838706,3.288180538,2.767266057,5.023880521
75263881,9,6,2015,5:30:00,19800,39.6422,-120.505,7.901594769,2.942879815,2.877949238,4.304065093
75257731,8,6,2015,5:10:00,18600,39.6422,-120.505,7.756684461,3.256746099,2.728252908,4.043051268
72202241,21,6,2004,5:00:00,18000,39.6194,-120.276,7.732209157,3.433019564,3.003637453,3.80666249
70160751,28,6,2017,9:28:00,34080,40.3135,-75.3475,7.673001613,4.455584235,3.757872326,2.833213344
67470971,9,6,2008,14:00:00,50400,39.6169,-120.489,7.675951032,2.661248109,2.897773085,4.204692619
67370131,11,6,2015,5:00:00,18000,39.698,-120.45,7.939073932,3.870056355,3.354565381,3.610917913
65614601,4,7,2017,9:39:00,34740,44.9621,-115.1201,7.534118032,4.434588965,3.767875041,2.708050201
65614601,4,7,2017,9:39:00,34740,44.9621,-115.1201,7.771916945,3.442654095,3.143693931,3.784189634
65256221,5,8,2017,15:15:00,54900,33.7394,-79.421,7.75573318,4.119217827,3.502980076,3.218875825
64713371,22,7,2017,8:50:00,31800,45.2742,-92.7725,7.629227645,4.137415109,3.476636218,3.091042453
64640681,28,7,2017,7:45:00,27900,35.7708,-78.542,7.708831103,3.528254438,3.540786776,3.496507561
64129161,7,7,2017,6:48:00,24480,42.431,-76.2959,7.919298469,4.360689497,3.496587725,3.218875825
64041271,22,7,2017,12:15:00,44100,34.6645,-89.4624,8.123186,4.042339359,2.911079388,3.80666249
63757551,18,7,2017,8:30:00,30600,35.1483,-76.6448,7.785074155,4.029583925,3.528656243,3.295836866
63496741,16,7,2017,7:00:00,25200,42.4678,-76.4556,7.945617277,3.373432199,3.030823593,4.043051268
63391781,5,7,2017,5:20:00,19200,36.7097,-118.8448,7.794273853,3.826894245,3.266680598,3.526360525
62976331,9,7,2017,6:59:00,25140,42.3337,-76.6796,7.845900686,3.241497061,2.9342893,4.060443011
30946051,5,7,2016,6:45:00,24300,42.3954,-76.7769,7.682116642,3.871531644,4.153017964,2.995732274
51073421,25,5,2005,,,50.8562,-118.0996,7.895702,3.821252769,2.930134991,3.737669618
56336181,30,4,2017,6:22:00,22920,42.4678,-76.4556,7.754917076,4.053065799,3.284736223,3.33220451
62880971,19,6,2017,7:55:00,28500,46.6333975,-88.5335408,8.012381195,3.537524174,3.601661913,3.761200116
62788091,5,7,2017,10:10:00,36600,42.6401467,-70.9993172,8.075854144,4.201002937,3.454951271,3.496507561
62595431,2,7,2017,14:30:00,52200,40.7273563,-110.9003305,7.663355474,2.783196938,2.854432238,4.158883083
62534811,3,7,2017,8:50:00,31800,35.105192,-81.2694073,7.444527084,4.347527801,4.454716368,2.397895273
62507851,3,7,2017,8:15:00,29700,42.6403124,-81.821756,7.90464534,3.039723843,3.205823567,4.094344562
62503991,3,7,2017,5:40:00,20400,39.4731354,-77.7444763,7.796625872,4.318193332,3.311987719,3.17805383
62047421,18,6,2017,12:13:00,43980,40.6079253,-82.3048711,8.576719171,4.362700084,3.261752849,3.931825633
61916011,29,5,2017,5:10:00,18600,39.2457593,-74.8549765,7.882374815,4.336702679,3.567985996,3.17805383
61752381,23,6,2017,6:11:00,22260,19.831629,-99.7883468,7.202554819,3.906565966,3.906881606,2.63905733
61683011,23,4,2017,11:57:00,43020,44.1190414,-94.5516754,7.903824948,3.897160536,3.443422912,3.526360525
61229511,14,6,2017,10:30:00,37800,42.4564505,-76.4775909,7.72016588,3.784069376,3.952463975,3.17805383
61110051,7,5,2017,6:01:00,21660,48.2713287,-121.6035296,7.70597722,3.2220454,2.889783696,3.951243719
61069461,14,6,2017,10:51:00,39060,42.456559,-76.477629,7.576642293,3.772578473,3.950021971,3.044522438
60991241,12,6,2017,6:00:00,21600,42.544628,-76.799615,8.452341394,3.831239283,3.272567035,4.17438727
60937361,12,5,2017,7:30:00,27000,35.6901148,-105.8881831,7.685622855,3.405722276,3.101092789,3.737669618
60835531,11,6,2017,5:32:00,19920,40.471743,-74.5586,7.862167219,4.746027619,3.688879454,2.833213344
60825391,11,6,2017,10:18:00,37080,38.0425019,-122.7990925,7.646361306,3.814594181,2.924824304,3.496507561
59630451,28,5,2017,9:37:00,34620,51.684564,-120.015705,7.824046011,3.514499699,3.223852085,3.761200116
59229281,16,5,2017,6:23:00,22980,48.4577471,-123.3238292,7.596607535,3.516743938,2.804826973,3.688879454
59170581,18,5,2017,17:30:00,63000,33.2387369,-117.0042041,7.698086784,3.366542947,3.718144913,3.465735903
59078691,18,5,2017,8:38:00,31080,48.7245954,-116.3088334,7.694479537,3.788269803,2.851060338,3.583518938
58447071,17,5,2017,17:30:00,63000,43.6606071,-65.8169568,8.051978079,4.1586626,3.99493564,3.295836866
58183101,6,6,2014,8:00:00,28800,41.5230215,-70.6763148,7.628455862,3.797595678,2.794473515,3.526360525
57546521,7,5,2017,7:29:00,26940,46.5827185,-112.0235431,7.664100797,3.916773608,2.825321073,3.465735903
57546081,7,5,2017,6:28:00,23280,46.5753091,-112.0248735,7.846273334,3.438564926,2.963143489,3.931825633
57536381,23,4,2017,6:45:00,24300,42.4259195,-76.3357544,7.81780435,3.76427156,3.714812836,3.401197382
57327041,6,5,2017,6:10:00,22200,39.3754451,-113.2934189,7.892861089,3.762378868,3.127873812,3.713572067
57170271,25,4,2017,19:09:00,68940,42.4749353,-76.4600828,8.218402022,4.163711475,3.903454656,3.496507561
57116861,7,5,2017,10:40:00,38400,43.0027719,-77.6771057,7.605495072,3.604226569,4.046083359,3.091042453
57105731,4,5,2017,5:58:00,21480,43.8702152,-72.8392073,7.619926695,3.586813273,3.421795073,3.433987204
56760661,30,4,2017,7:43:00,27780,42.3483635,-76.1646831,7.547769546,4.119098301,3.699842072,2.944438979
56682831,27,3,2017,18:31:00,66660,35.9563584,-88.9985061,8.079204892,3.532630138,3.302462541,3.970291914
56466101,27,4,2017,7:45:00,27900,41.4688915,-71.5796614,7.617119457,4.388806322,2.836941214,3.044522438
56335081,17,4,2017,7:30:00,27000,43.40066,-70.62553,7.602012954,4.289990121,3.532669041,2.944438979
56023061,27,4,2017,6:40:00,24000,42.3483635,-76.1646831,8.1417491,2.657361216,3.331196192,4.406719247
55941541,27,4,2017,14:13:00,51180,44.3354061,-69.1767025,7.998292726,4.319976907,3.068175974,3.433987204
55891391,26,4,2017,6:48:00,24480,49.2382662,-123.1517816,7.827974791,3.842252378,3.251032936,3.555348061
55863891,26,4,2017,11:16:00,40560,36.4586859,-121.798026,7.817037381,3.578693972,2.786923181,3.871201011
