CatalogNo,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
XC294364,2,6,2015,6:25:00,23100,43.6416,-110.7628,6.963925551,2.690314049,2.997318317,3.433987204
XC293008,27,6,2015,8:04:00,29040,46.9872,-70.5887,7.493423299,4.126366041,3.378382704,2.995732274
XC269238,17,6,2015,17:08:00,61680,46.3086,-121.5431,7.676392696,3.065188001,2.522245639,4.158883083
XC269237,17,6,2015,16:59:00,61140,46.3086,-121.5431,7.878413939,3.511401424,2.924696501,3.931825633
XC246585,13,5,2015,20:30:00,73800,34.0097,-84.0556,7.986488747,3.666976811,3.725034491,3.610917913
XC195560,25,6,2014,4:31:00,16260,56.0883,-129.3039,8.008270518,3.723266796,3.013431851,3.891820298
XC189596,17,6,2014,8:32:00,30720,58.7648,-122.7268,8.196244286,3.252695207,2.83405777,4.442651256
XC189062,15,6,2014,12:01:00,43260,59.0988,-123.4621,7.82759526,3.305602261,3.063126191,3.951243719
XC188824,15,6,2014,4:43:00,16980,58.9758,-123.1714,7.867287932,3.31658812,2.785751642,4.094344562
XC188159,12,6,2014,5:58:00,21480,52.8471,-118.0812,8.009958994,3.871347972,2.961606783,3.80666249
XC188094,11,6,2014,9:42:00,34920,52.2247,-117.202,7.458533949,2.871979071,2.563989539,4.043051268
XC179122,21,5,2014,9:00:00,32400,13.9475,-87.1811,7.481510988,4.228338811,3.054143036,2.995732274
XC170986,8,4,2012,11:30:00,41400,19.689,-101.206,7.207271809,3.537964275,3.549723009,2.995732274
XC163938,29,4,2002,8:00:00,28800,30.0801,-99.5027,7.397989393,3.787696871,3.334058079,3.135494216
XC142341,22,6,2013,8:30:00,30600,39.4866,-78.3357,8.1422111,3.550609538,3.170315519,4.077537444
XC141461,28,6,2013,6:30:00,23400,30.0801,-99.5027,6.502766248,4.63642273,3.63172104,1.609437912
XC139882,26,5,2013,8:30:00,30600,44.4632,-104.3921,7.659620503,3.622254422,3.321016878,3.496507561
XC138781,9,5,2013,16:58:00,61080,41.718,-111.956,8.149665923,3.06145417,2.775216392,4.532599493
XC131641,27,4,2013,5:57:00,21420,44.942,-93.259,7.76061587,3.219976612,3.149882953,3.891820298
XC131573,21,6,2012,9:20:00,33600,39.6788,-120.3144,8.400695044,3.956704785,2.732732886,4.189654742
XC125194,22,5,2001,5:10:00,18600,34.2549,-116.7111,7.619459369,3.620195749,3.22520496,3.496507561
XC125192,6,4,1995,,,36.548,-117.4878,7.954684334,3.013800572,2.911385906,4.304065093
XC125190,16,6,2000,8:10:00,29400,36.9676,-118.0459,7.997652452,3.766100489,2.657079011,3.951243719
XC125188,2,6,1995,,,37.2884,-118.1502,7.524912376,3.663207099,3.068175974,3.433987204
XC104951,15,6,2012,14:50:00,53400,39.034,-114.271,7.779513437,3.982299004,3.294437115,3.401197382
XC83519,27,4,2008,,,42.6409,-77.3509,8.211357924,4.123793679,3.65798378,3.610917913
XC77992,14,5,2011,13:23:00,48180,43.328,-112.035,7.768029802,3.883804108,3.070321131,3.526360525
XC61635,18,5,2010,9:55:00,35700,40.83,-121.385,7.690569039,3.172840483,2.645125526,4.060443011
XC56891,25,6,2010,,,41.637,-70.56,7.120559852,3.404558729,3.309709567,3.091042453
XC47096,17,4,2010,6:00:00,21600,42.91164591,-88.47706532,7.921489556,4.258439752,3.483585416,3.295836866
XC16985,7,5,2007,,,41.93338,-83.54994,7.961126653,4.172412936,3.854931816,3.258096538
XC14415,25,6,2007,9:13:00,33180,50.6878,-115.1317,7.31575685,4.158532882,3.258554309,2.833213344
XC13646,21,5,2007,7:50:00,28200,48.2942,-70.3417,7.878894881,4.363075293,3.17805383,3.258096538
XC12579,14,4,2007,7:42:00,27720,37.622934,-108.752289,7.582803143,3.861008146,3.265861932,3.295836866
XC373249,30,3,2017,9:00:00,32400,34.6385,-113.7545,7.72016588,3.78645464,3.038680857,3.555348061
XC364591,14,4,2017,11:00:00,39600,35.8174,-78.7193,7.410740725,4.143831059,3.593718073,2.833213344
XC359412,3,6,2014,7:00:00,25200,39.2732,-74.8938,7.764531884,4.401263964,3.801751371,2.944438979
XC326708,24,6,2016,4:06:00,14760,48.1419,-69.6951,7.255501592,2.692615631,3.139719325,3.63758616
XC325938,23,6,2016,8:30:00,30600,50.9619,-118.1997,8.892755311,3.811997066,2.677098151,4.804021045
XC325446,14,5,2016,5:00:00,18000,41.577935,-74.947005,8.042122779,4.122809341,3.328596569,3.555348061
XC324926,21,4,2013,7:00:00,25200,35.1084,-80.9483,7.083707387,3.448979227,3.827029793,2.772588722
XC321209,14,5,2016,9:45:00,35100,32.9846,-116.5818,7.632923938,3.322584183,2.921624301,3.80666249
XC320337,3,6,2016,10:30:00,37800,42.7063,-83.4912,7.927461779,3.263679102,3.283414346,3.970291914
XC315158,29,4,2016,10:03:00,36180,45.7816,-84.7655,7.567657507,3.711835569,3.462755275,3.295836866
XC314922,19,4,2016,10:00:00,36000,40.8918,-91.0756,7.498008036,3.282363374,3.304475271,3.526360525
XC313880,13,4,2016,12:30:00,45000,32.5832,-108.4276,8.01111817,2.958714646,3.02821483,4.33073334
XC313469,23,4,2016,10:56:00,39360,41.8217,-88.0513,7.978033412,3.701857049,3.028293289,3.871201011
XC313468,23,4,2016,7:55:00,28500,41.8217,-88.0513,7.457252014,4.323747144,3.758401286,2.708050201
XC312321,10,4,2016,8:22:00,30120,36.8844,-76.6425,7.690569039,3.719169997,2.625063718,3.688879454
XC309778,31,3,2016,14:00:00,50400,39.1742,-75.5424,7.546429512,3.385513246,3.294535537,3.526360525
XC294302,2,6,2015,11:04:00,39840,43.7293,-110.7412,7.995515243,3.225362676,2.491847878,4.382026635
XC206093,28,6,2014,9:10:00,33000,37.7799,-108.0403,7.717626734,3.669264779,3.018634038,3.63758616
XC195836,27,6,2014,8:40:00,31200,52.8214,-119.244,7.929520806,3.470888821,3.027280631,3.970291914
XC189595,17,6,2014,8:03:00,28980,58.7648,-122.7268,7.515275405,4.004999462,2.795343725,3.258096538
XC184387,29,6,2014,10:00:00,36000,18.8544,-100.3002,7.543912099,4.177900448,3.887112115,2.833213344
XC182933,14,6,2014,8:30:00,30600,36.4216,-112.0769,7.903121218,3.676809862,3.176414796,3.761200116
XC177381,2,5,2014,12:00:00,43200,41.9651,-72.1456,8.093758061,2.759389503,2.996429745,4.521788577
XC176359,25,4,2014,10:00:00,36000,41.9356,-72.1601,8.003930739,4.441786339,3.292530179,3.295836866
XC137480,2,6,2013,4:22:00,15720,47.8534,-70.42,7.252357641,4.344708872,3.530088395,2.564949357
XC133534,12,5,2013,9:30:00,34200,40.4746,-74.5269,7.333334201,4.53524924,3.921501749,2.397895273
XC131640,26,4,2013,6:34:00,23640,44.942,-93.259,7.972794369,3.723510898,2.830178961,3.912023005
XC131639,26,4,2013,6:34:00,23640,44.942,-93.259,7.863022494,3.499573859,4.242034507,3.258096538
XC131638,26,4,2013,6:34:00,23640,44.942,-93.259,7.678157402,3.193964934,3.047717662,3.871201011
XC125186,14,6,2000,,,34.2109,-116.8013,7.641800641,3.307816557,3.234624182,3.688879454
XC125185,17,5,1998,,,34.2549,-116.7111,7.852340337,3.89848642,3.299872678,3.526360525
XC125183,14,6,2000,15:00:00,54000,34.2109,-116.8013,7.915365555,2.588986263,2.791855001,4.532599493
XC125180,2,7,2000,11:40:00,42000,32.9823,-116.6008,8.261050801,3.91519258,2.753873353,4.077537444
XC107570,20,6,2012,8:30:00,30600,35.5984,-83.8098,7.839794368,3.879265249,3.383178876,3.496507561
XC104707,12,6,2012,9:00:00,32400,36.244,-115.719,7.550611169,3.550232961,3.235027326,3.465735903
XC102952,14,6,2010,8:10:00,29400,39.698,-120.453,8.022844826,3.398382577,2.891462957,4.158883083
XC100725,8,5,2012,8:00:00,28800,40.043,-76.345,8.229299456,3.916870325,3.289102503,3.891820298
XC83733,5,7,2011,5:55:00,21300,44.0489,-78.2787,8.020969434,3.821638944,3.112071266,3.80666249
